@RELATION meteorite_landings_test

@ATTRIBUTE recclass {"Acapulcoite","Acapulcoite/Lodranite","Acapulcoite/lodranite","Achondrite-prim","Achondrite-ung","Angrite","Aubrite","Aubrite-an","Brachinite","C","C1/2-ung","C2","C2-ung","C3-ung","C3.0-ung","C4","C4-ung","C4/5","C5/6-ung","C6","CB","CBa","CBb","CH/CBb","CH3","CI1","CK","CK3","CK3-an","CK4","CK4-an","CK4/5","CK5","CK5/6","CK6","CM","CM-an","CM1","CM1/2","CM2","CO3","CO3.0","CO3.1","CO3.2","CO3.3","CO3.4","CO3.5","CO3.6","CO3.7","CO3.8","CR","CR-an","CR1","CR2","CR2-an","CR7","CV2","CV3","CV3-an","Chondrite-fusion crust","Chondrite-ung","Diogenite","Diogenite-an","Diogenite-olivine","Diogenite-pm","E","E-an","E3","E3-an","E4","E5","E5-an","E6","EH","EH-imp melt","EH3","EH3/4-an","EH4","EH4/5","EH5","EH6","EH6-an","EH7","EH7-an","EL-melt rock","EL3","EL4","EL4/5","EL5","EL6","EL6/7","EL7","Enst achon-ung","Eucrite","Eucrite-Mg rich","Eucrite-an","Eucrite-br","Eucrite-cm","Eucrite-mmict","Eucrite-pmict","Eucrite-unbr","Fusion crust","H","H(5?)","H(?)4","H(L)3","H(L)3-an","H-an","H-imp melt","H-melt breccia","H-melt rock","H-metal","H/L3","H/L3.5","H/L3.6","H/L3.9","H/L4","H/L4-5","H/L5","H/L6","H/L~4","H3 ","H3","H3-4","H3-5","H3-6","H3-an","H3.0","H3.0-3.4","H3.05","H3.1","H3.10","H3.2","H3.2-3.7","H3.2-6","H3.2-an","H3.3","H3.4","H3.4-5","H3.4/3.5","H3.5","H3.5-4","H3.6","H3.6-6","H3.7","H3.7-5","H3.7-6","H3.7/3.8","H3.8","H3.8-4","H3.8-5","H3.8-6","H3.8-an","H3.8/3.9","H3.8/4","H3.9","H3.9-5","H3.9-6","H3.9/4","H3/4","H4 ","H4","H4(?)","H4-5","H4-6","H4-an","H4-melt breccia","H4/5","H4/6","H5 ","H5","H5-6","H5-7","H5-an","H5-melt breccia","H5/6","H6 ","H6","H6-melt breccia","H7","H?","Howardite","Howardite-an","H~4","H~4/5","H~5","H~6","Iron","Iron- IAB complex","Iron- IAB-MG","Iron- IAB-an","Iron- IAB-sHH","Iron- IAB-sHL","Iron- IAB-sHL-an","Iron- IAB-sLH","Iron- IAB-sLL","Iron- IAB-sLM","Iron- IAB-ung","Iron- IAB?","Iron- IC","Iron- IC-an","Iron- IIAB","Iron- IIAB-an","Iron- IIC","Iron- IID","Iron- IID-an","Iron- IIE","Iron- IIE-an","Iron- IIF","Iron- IIG","Iron- IIIAB","Iron- IIIAB-an","Iron- IIIAB?","Iron- IIIE","Iron- IIIE-an","Iron- IIIF","Iron- IVA","Iron- IVA-an","Iron- IVB","Iron- ungrouped","K","K3","L","L(?)3","L(LL)3","L(LL)3.05","L(LL)3.5-3.7","L(LL)5","L(LL)6","L-imp melt","L-melt breccia","L-melt rock","L-metal","L/LL","L/LL(?)3","L/LL3","L/LL3-5","L/LL3-6","L/LL3.10","L/LL3.2","L/LL3.4","L/LL3.6/3.7","L/LL4","L/LL4-6","L/LL4/5","L/LL5","L/LL5-6","L/LL5/6","L/LL6","L/LL6-an","L/LL~4","L/LL~5","L/LL~6","L3","L3-4","L3-5","L3-6","L3-melt breccia","L3.0","L3.0-3.7","L3.0-3.9","L3.00","L3.05","L3.1","L3.10","L3.2","L3.2-3.5","L3.2-3.6","L3.3","L3.3-3.5","L3.3-3.6","L3.3-3.7","L3.4","L3.4-3.7","L3.5","L3.5-3.7","L3.5-3.8","L3.5-3.9","L3.5-5","L3.6","L3.6-4","L3.7","L3.7-3.9","L3.7-4","L3.7-6","L3.7/3.8","L3.8","L3.8-6","L3.8-an","L3.9","L3.9-5","L3.9-6","L3.9/4","L3/4","L4 ","L4","L4-5","L4-6","L4-an","L4-melt breccia","L4/5","L5 ","L5","L5-6","L5-7","L5-melt breccia","L5/6","L6 ","L6","L6-melt breccia","L6/7","L7","LL","LL(L)3","LL-imp melt","LL-melt breccia","LL-melt rock","LL3","LL3-5","LL3-6","LL3.0","LL3.00","LL3.05","LL3.1","LL3.1-3.5","LL3.15","LL3.2","LL3.3","LL3.4","LL3.5","LL3.6","LL3.7","LL3.7-6","LL3.8","LL3.8-4","LL3.8-6","LL3.9","LL3.9/4","LL3/4","LL4","LL4-5","LL4-6","LL4/5","LL5","LL5-6","LL5-7","LL5/6","LL6 ","LL6","LL6(?)","LL6-an","LL6-melt breccia","LL7","LL7(?)","LL~3","LL~5","LL~6","Lodranite","Lodranite-an","Lunar (anorth)","Lunar (bas. breccia)","Lunar (bas/anor)","Lunar (basalt)","Lunar (feldsp. breccia)","Lunar (gabbro)","Lunar (norite)","Lunar","L~3","L~4","L~4-6","L~5","L~6","Martian (OPX)","Martian (basaltic breccia)","Martian (chassignite)","Martian (nakhlite)","Martian (shergottite)","Mesosiderite","Mesosiderite-A","Mesosiderite-A1","Mesosiderite-A2","Mesosiderite-A3","Mesosiderite-A3/4","Mesosiderite-A4","Mesosiderite-B","Mesosiderite-B1","Mesosiderite-B2","Mesosiderite-B4","Mesosiderite-C","Mesosiderite-C2","Mesosiderite-an","Mesosiderite?","OC","Pallasite","Pallasite- PES","Pallasite- PMG","Pallasite- PMG-an","Pallasite- ungrouped","Pallasite?","R","R3","R3-4","R3-5","R3-6","R3.5-4","R3.5-6","R3.6","R3.8","R3.8-5","R3.8-6","R3.9","R4","R5","R6","Relict OC","Relict iron","Stone-uncl","Stone-ung","Ureilite","Ureilite-an","Ureilite-pmict","Winonaite"}
@ATTRIBUTE mass numeric
@ATTRIBUTE fall {Fell,Found}
@ATTRIBUTE yearoflanding DATE yyyy
@ATTRIBUTE class {NE,NW,SE,SW}

@DATA
"L6",1300,Fell,1949,NE
"L3.7",22700,Fell,1905,NE
"L6",350,Fell,1904,NE
"H5",1100,Fell,1980,NE
"L6",1600,Fell,1905,NW
"L5",3584,Fell,2010,NW
"CM2",8000,Fell,1905,NE
"L6",6380,Fell,1992,NE
"L6",224.2,Fell,1944,NE
"L6",10000,Fell,1905,NE
"Eucrite-mmict",330000,Fell,1960,SE
"H5",16700,Fell,1930,NW
"L",1040,Fell,1904,NE
"Pallasite",42,Fell,1904,NE
"LL6",5500,Fell,1952,NE
"OC",550,Fell,1905,NE
"L5",8510,Fell,1910,NE
"H5",5800,Fell,1905,NE
"H",100.7,Fell,1905,NE
"L5-6",300000,Fell,1905,NE
"L6",35000,Fell,1905,NW
"CV3",4500,Fell,1908,SE
"H5",144000,Fell,1905,NW
"Howardite",150,Fell,1953,SE
"H5",2587,Fell,1998,NW
"H4",8600,Fell,1905,NW
"L5",4885,Fell,1950,NW
"L5",3130,Fell,1905,NE
"H5",149000,Fell,1923,NE
"L6",500,Fell,1905,NE
"Eucrite-cm",1880,Fell,1913,NW
"H5",3520,Fell,1904,NW
"L6",8887.5,Fell,1930,SE
"L6",70,Fell,1904,NE
"H5",633,Fell,2000,NE
"H5",1300,Fell,1905,NE
"CO3.6",3763,Fell,2006,NE
"H6",1500,Fell,1905,NE
"H4",9150,Fell,1905,NE
"H6",11300,Fell,1902,SE
"L5",110000,Fell,1991,NE
"Stone-uncl",17000,Fell,1904,NE
"Stone-uncl",1100,Fell,1944,SE
"L5",4400,Fell,1905,NE
"L",25.5,Fell,1904,NE
"L6",4703,Fell,1924,NE
"CM2",100000,Fell,1969,SE
"CM2",12600,Fell,1950,NW
"Iron- IAB-sHL",1245,Fell,1964,NE
"H5",8165,Fell,1956,NE
"L6",1810,Fell,1922,NE
"Eucrite-cm",20,Fell,1905,NE
"L5",6100,Fell,1905,NE
"Martian (nakhlite)",10000,Fell,1911,NE
"L6",23200,Fell,1923,NE
"H5",4500,Fell,1905,NE
"L6",52900,Fell,1917,NE
"H6",7500,Fell,1904,NW
"H6",529,Fell,1984,NE
"H6",17000,Fell,1928,NE
"H6",2700,Fell,1974,NE
"L6",367.5,Fell,1928,SE
"H4",347,Fell,1936,SE
"CM2",105,Fell,1905,NE
"L6",420,Fell,1995,NE
"Iron- ungrouped",4500,Fell,1905,NE
"L6",2450,Fell,1970,NE
"L6",10250,Fell,1905,NE
"EL6",6189,Fell,2002,NE
"L6",230000,Fell,1905,NW
"L4",12000,Fell,1994,NE
"H5",19256,Fell,2003,NW
"LL3.6",1393,Fell,1905,SE
"Iron- ungrouped",37500,Fell,1900,NW
"H4",3996,Fell,1935,NE
"L4",6000,Fell,1954,NE
"Iron- IVA",14250,Fell,1975,NE
"C3-ung",4610,Fell,1983,NE
"H3-4",467,Fell,1905,NE
"Iron- IID",17200,Fell,1912,SE
"Eucrite-pmict",2300,Fell,1904,NW
"H4-6",483.7,Fell,1991,NW
"L6",472,Fell,1902,NE
"CM2",4000,Fell,1905,SW
"Iron- IIIAB",1050,Fell,1918,NW
"Aubrite",1100000,Fell,1948,NW
"H4",177,Fell,1971,NE
"Ureilite",1900,Fell,1905,NE
"OC",1001,Fell,1908,NE
"L6",250,Fell,1933,NE
"H5",50000,Fell,1978,NW
"H6",5000,Fell,1905,NE
"H4",363,Fell,1925,NE
"Iron- IIIAB",737.6,Fell,1939,NE
"LL5",1100,Fell,1914,NE
"H4",500000,Fell,1905,NE
"H5",1400,Fell,1927,NE
"L6",6000,Fell,1905,NE
"L6",3750,Fell,1900,NE
"H6",14360,Fell,1904,NE
"H5",16250,Fell,1905,NE
"L5",7700,Fell,1963,NE
"L6",5850,Fell,1926,NW
"H5",194,Fell,1958,NE
"Iron- IIAB",4742,Fell,1904,NE
"LL6",12000,Fell,1905,NE
"L6",16570,Fell,1930,NE
"LL5",150000,Fell,1924,NW
"H5",40000,Fell,1929,NW
"Pallasite- PMG",250000,Fell,1981,NE
"CI1",14000,Fell,1905,NE
"Eucrite",180,Fell,2004,NW
"CO3.4",6000,Fell,1905,NE
"Stone-uncl",4500,Fell,1904,NE
"H6",3400,Fell,1905,NE
"L6",246,Fell,1928,NE
"H",6510,Fell,1905,NE
"LL6",840,Fell,1905,NW
"L5",4440,Fell,2003,NE
"LL6",1215.5,Fell,1986,NW
"H3-5",17000,Fell,2003,NW
"H4",20000,Fell,1998,NW
"L6",121.5,Fell,1900,SE
"H5",205,Fell,1905,NW
"L6",3400,Fell,1905,NW
"Eucrite-mmict",3858,Fell,1929,NE
"H6",515,Fell,1910,NE
"L5",1430,Fell,1988,SW
"Iron",18000,Fell,1914,NE
"L3",135,Fell,1926,NW
"H5",682,Fell,1949,NW
"L5",10500,Fell,1905,NE
"H5",2130,Fell,1938,NE
"LL5",408000,Fell,1930,NW
"LL5",2000,Fell,1967,SW
"L6",100000,Fell,1956,SW
"L5",18000,Fell,2003,NW
"LL3.6",77600,Fell,1905,NE
"EH3",800,Fell,1942,NE
"Eucrite-pmict",5100,Fell,1933,NW
"H6",4375,Fell,1969,NE
"L6",2121,Fell,1950,SW
"Iron",12,Fell,1922,NE
"Mesosiderite-A1",37350,Fell,1935,NE
"H5",2968,Fell,1966,NE
"H5",142.5,Fell,1938,NE
"L6",40000,Fell,1904,NE
"Howardite",2000,Fell,1905,NE
"L6",45760,Fell,1963,NW
"Diogenite-pm",117.8,Fell,1953,NE
"H6",12570,Fell,1992,NW
"Aubrite",70000,Fell,1946,NW
"Eucrite-mmict",165,Fell,1905,SE
"L6",23474,Fell,1935,NE
"LL5",2,Fell,1905,NW
"L6",66000,Fell,1933,NE
"Aubrite",3393,Fell,1933,NE
"H5",189,Fell,1995,NE
"Eucrite-pmict",1800,Fell,1905,NW
"L6",57900,Fell,1901,NW
"H4",500,Fell,1905,NE
"H4",7800,Fell,1933,NE
"L5",11000,Fell,1941,NE
"LL3.4",13.1,Fell,1968,NE
"EL6",23250,Fell,1905,NE
"Eucrite-mmict",42000,Fell,1996,NE
"H",37,Fell,1905,SE
"L6",842,Fell,1905,NE
"H6",1161,Fell,1905,NE
"Iron- IAB-ung",3760,Fell,1921,NW
"H6",2085,Fell,1930,NW
"L5-6",6913,Fell,2008,NE
"L5",39,Fell,1904,NE
"L6",96,Fell,1905,NE
"L5",3000,Fell,1904,NE
"H5",350,Fell,1905,NE
"CM2",253.6,Fell,1942,NE
"Winonaite",157,Fell,1931,NW
"H6",71400,Fell,1998,NW
"Stone-uncl",4500,Fell,1904,NW
"LL",665,Fell,1933,NE
"L6",2125,Fell,1932,NE
"H5",5555,Fell,1959,NE
"L6",900,Fell,1905,NW
"Eucrite-br",500,Fell,2007,NW
"H5",560,Fell,1905,NE
"H5",250000,Fell,1905,NE
"Stone-uncl",100,Fell,1904,NE
"L6",300000,Fell,1937,SW
"L/LL5",1275,Fell,1982,NE
"EH3",2600,Fell,1976,NE
"H6",7000,Fell,1925,SE
"H4",6045,Fell,1905,NE
"Iron- IAB-ung",10750,Fell,1905,NW
"H",17450,Fell,1990,NE
"L6",65,Fell,1905,NE
"H5",5000,Fell,1957,SW
"Iron- IIAB",10200,Fell,1986,NE
"L5",67225,Fell,1983,NE
"L6",9000,Fell,1905,NE
"L6",3766,Fell,1940,NE
"LL",100,Fell,1916,NE
"L6",4682,Fell,1958,NE
"H4",290.4,Fell,1917,NE
"H5",300,Fell,1905,NW
"L6",3224.5,Fell,1937,NE
"L6",4910,Fell,1919,NE
"H6",6.1,Fell,1961,NE
"Stone-uncl",24700,Fell,1904,NE
"Stone-uncl",910,Fell,1905,NE
"H5",18.41,Fell,2007,NW
"L5",17300,Fell,1947,NW
"Iron- IVA",10000,Fell,1919,SE
"CR2",1000,Fell,1904,NE
"L5",300,Fell,1925,SW
"L6",355,Fell,1916,NE
"Iron- IIF",7000,Fell,1933,NE
"CI1",1,Fell,1965,NW
"L6",3332,Fell,1929,NE
"L6",668,Fell,1903,NW
"H5",90000,Fell,1918,NW
"OC",1900,Fell,1980,NW
"LL5",1800,Fell,1905,NW
"L4",1310,Fell,1934,SW
"Stone-uncl",103.3,Fell,1904,NE
"H6",340,Fell,1905,NW
"Stone-uncl",1641,Fell,1905,SE
"Diogenite",400,Fell,1905,NE
"Stone-uncl",2900,Fell,1904,NE
"H5",10600,Fell,1921,NW
"Iron- IIIAB",3500,Fell,1905,NW
"L6",465.5,Fell,1976,SE
"R3.8-6",67,Fell,1934,NE
"L4-6",6000,Fell,1949,SE
"L5",13000,Fell,1914,NE
"H5",1250,Fell,1905,NE
"LL6",478,Fell,1999,NE
"EH5",14000,Fell,1914,NE
"LL6",271000,Fell,1966,NE
"Iron",4180,Fell,1913,NE
"L6",61.4,Fell,1981,NW
"L5",9000,Fell,1904,NE
"LL5",43,Fell,1985,NE
"Iron- IIIAB",2462,Fell,1921,NE
"H6",56,Fell,1973,NW
"L6",237,Fell,2002,NE
"L6",282,Fell,1956,SW
"LL6",460,Fell,1968,NW
"L4",400,Fell,1905,SW
"CM2",60,Fell,1939,NW
"L6",5500,Fell,1924,SW
"L6",4000,Fell,2008,SW
"H4",927,Fell,1962,SW
"L4",200000,Fell,1918,NE
"H",695,Fell,1904,NE
"L6",4000,Fell,1905,NW
"LL4",2500,Fell,1905,NE
"CM2",430,Fell,1986,NE
"L5",412,Fell,1934,NE
"L",7000,Fell,1904,NE
"H5",283.3,Fell,1968,NW
"L6",8000,Fell,1905,NE
"H5",5400,Fell,1905,NW
"L6",240,Fell,1917,NE
"LL6",6930,Fell,1905,NE
"H5",1590,Fell,1939,SE
"H5",150,Fell,1947,NE
"LL3.00",691,Fell,1940,NE
"H4",4000,Fell,1904,NW
"H6",866,Fell,1993,NE
"H6",20000,Fell,1966,NE
"H4",8500,Fell,1904,NE
"Eucrite-cm",1800,Fell,1923,SW
"H4",350,Fell,1908,SW
"LL4",180,Fell,1905,NW
"L5",101000,Fell,1905,NE
"L6",7000,Fell,1989,NE
"Diogenite",4000,Fell,1905,NE
"H3.4",1265,Fell,1921,NW
"L5",18600,Fell,1904,NW
"Martian (shergottite)",5000,Fell,1905,NE
"L6",605,Fell,1976,NE
"L6",3679.7,Fell,1921,NE
"H5",3900,Fell,1971,NE
"H6",5000,Fell,1912,NE
"L6",3200,Fell,1905,NE
"LL5",3700,Fell,1904,NE
"Iron- IIAB",23000000,Fell,1947,NE
"H5",1710,Fell,1995,NW
"Achondrite-ung",0.15,Fell,1917,NE
"H5",1222,Fell,1920,NE
"L6",1455,Fell,1916,NE
"H5",8400,Fell,1901,NE
"H6",2000,Fell,1956,NE
"Eucrite-mmict",4100,Fell,1933,NW
"H5",1600,Fell,1905,NE
"H6",40000,Fell,1989,NE
"L5",630,Fell,1989,NE
"L6",850,Fell,1905,NE
"H5",1708,Fell,1905,NE
"L4",2750,Fell,1904,NE
"OC",72.9,Fell,1960,NE
"LL4",80000,Fell,1905,NE
"H5",54,Fell,1905,NE
"L6",1066,Fell,2011,NE
"H5",17100,Fell,1905,NE
"L6",36900,Fell,1993,NE
"OC",958,Fell,1927,NE
"Iron- ungrouped",2050,Fell,1945,NE
"L6",360,Fell,1905,NE
"L6",5500,Fell,1905,NW
"L6",700,Fell,1905,NE
"H6",4000,Fell,1905,NW
"H4",1000,Fell,1950,NW
"EH5",13780,Fell,1903,SE
"LL3.3",24.3,Fell,1919,NW
"LL6",8300,Fell,1905,NE
"L6",17000,Fell,1910,NE
"L6",134.3,Fell,1959,NE
"H5",34000,Fell,1905,NE
"Eucrite-mmict",52000,Fell,1904,NE
"L6",1500,Fell,1905,NE
"H4",4960,Fell,1962,NE
"Iron- IIIAB",325000,Fell,1990,NE
"L6",50,Fell,1974,NW
"L6",13400,Fell,1917,NW
"Stone-uncl",10400,Fell,1904,NW
"H5",25400,Fell,1994,NW
"L6",3500,Fell,1924,NW
"L6",815.3,Fell,1969,NE
"L6",260000,Fell,1986,NE
"LL6",110000,Fell,2008,NE
"L/LL6",1710.5,Fell,1916,NE
"H5",637,Fell,1935,NE
"H6",7235,Fell,1905,NE
"C",992.5,Fell,2012,NW
"H4",5560,Fell,1954,NW
"H5",7540,Fell,1904,NE
"L5",9000,Fell,1905,NE
"C2-ung",10000,Fell,2000,NW
"H4/5",1000,Fell,1991,NE
"H5",720,Fell,1905,NE
"L6",10500,Fell,1975,SE
"H5",100000,Fell,2008,NW
"L5",905,Fell,1918,NE
"L5",3850,Fell,1965,NE
"Diogenite",12000,Fell,1931,NE
"L6",2500,Fell,1967,NE
"L6",6000,Fell,1929,NE
"L6",21000,Fell,1937,NE
"L6",160000,Fell,1905,SE
"L4",28500,Fell,1905,NE
"H6",342,Fell,1950,NE
"L6",14200,Fell,2011,SE
"H4/5",45300,Fell,2002,SE
"H5",2232,Fell,1986,NE
"H/L3.6",28000,Fell,1905,NE
"L6",74800,Fell,1927,NW
"L6",3000,Fell,1970,NE
"H5",65500,Fell,1904,NE
"H6",230,Fell,1934,NE
"Martian (shergottite)",7000,Fell,2011,NW
"H6",20000,Fell,1905,SE
"L5",16500,Fell,1922,SE
"LL6",600,Fell,1905,NE
"H6",900,Fell,1905,NW
"L",600,Fell,1916,NE
"H4/5",27.5,Fell,1984,NE
"CI1",7.7,Fell,1911,NE
"H6",977,Fell,1988,NE
"H6",259.1,Fell,1944,NW
"H6",1030,Fell,1904,NE
"OC",2000,Fell,1904,NE
"L6",14500,Fell,1905,NE
"LL6",1250,Fell,1988,NE
"H3/4",11800,Fell,1905,NE
"Iron- IIIAB-an",63000,Fell,1916,NE
"H",357.4,Fell,1950,NE
"L6",1020,Fell,1917,NW
"L/LL6",640,Fell,1927,NE
"H5-6",800,Fell,1996,NE
"L6",13100,Fell,1921,NE
"H6",10000,Fell,1967,NE
"L5",89.3,Fell,1996,NW
"LL5",30000,Fell,1975,NW
"H4",19860,Fell,1905,NE
"Iron",750,Fell,1903,NE
"H5",40000,Fell,1903,SW
"H5",4590,Fell,1970,NW
"L6",1000,Fell,1989,NE
"Iron- IAB-ung",103000,Fell,1927,NE
"LL7",710,Fell,1905,NE
"H5",3600,Fell,1905,NE
"EL6",189.2,Fell,1957,SE
"L",76.5,Fell,1926,NE
"LL5",100,Fell,1904,NE
"L5",1700,Fell,1966,NE
"L4",113.4,Fell,1986,NE
"OC",1000,Fell,1924,NE
"Stone-uncl",1500,Fell,1926,NE
"L6",1269,Fell,1963,NE
"L6",9700,Fell,1905,NE
"H5",3422,Fell,1928,NE
"L",20000,Fell,1948,SW
"H6",40,Fell,1904,NE
"H6",2799,Fell,1944,NE
"L6",1004,Fell,1903,NE
"L5",50000,Fell,1972,NW
"L5",2500,Fell,2010,SW
"LL6",1932,Fell,1905,NE
"H5",10800,Fell,1950,NE
"Mesosiderite-B2",54000,Fell,1905,NE
"H5",8000,Fell,1905,NE
"H6",1500,Fell,1905,NW
"Eucrite-mmict",750,Fell,1949,NE
"CV3",15000,Fell,1910,NE
"L6",3500,Fell,2004,NW
"L5",0.1,Fell,1967,NW
"L6",3600,Fell,1905,NE
"LL4-6",2437,Fell,1906,NE
"Eucrite-cm",1303.8,Fell,1997,NE
"H6",594,Fell,1915,NE
"L6",20000,Fell,1905,NE
"L6",28100,Fell,1946,NW
"CO3.7",1600,Fell,1905,NW
"Howardite",225,Fell,1939,NW
"H5",4000,Fell,2006,NE
"H5",3750,Fell,1905,NE
"H4",150000,Fell,1904,NW
"L6",350,Fell,1971,NW
"L6",2756,Fell,1982,NW
"H5",2138.74,Fell,2009,NW
"H5",150000,Fell,1967,SE
"H5",22,Fell,1918,SE
"LL4",66,Fell,1932,SE
"L5",2200,Fell,1905,SE
"OC",166.4,Fell,1964,NE
"L6",25000,Fell,1904,NW
"L6",36000,Fell,1960,SE
"L5",1551,Fell,1997,NW
"H6",50000,Fell,1986,NE
"L/LL6-an",5900,Fell,1980,NE
"H6",75500,Fell,1977,NE
"H5",5700,Fell,2000,NE
"H5",4,Fell,1951,NE
"H5",20000,Fell,1954,NE
"H6",3500,Fell,1990,NE
"Iron- IAB complex",150200,Fell,1959,NE
"H5",13600,Fell,1905,NE
"H4/5",31650,Fell,1905,NE
"L5",250,Fell,1905,NW
"Stone-uncl",0.1,Fell,1928,NE
"LL6",4800,Fell,1931,NE
"Howardite",1472,Fell,1936,NE
"L6",3867,Fell,1904,NE
"L6",3000,Fell,1905,NE
"H3-6",175000,Fell,1998,NW
"Martian (shergottite)",18000,Fell,1962,NE
"H5",463,Fell,1963,NE
"Pallasite- PMG-an",330,Fell,1905,NE
"H5",14250,Fell,1984,NE
"L6",800,Fell,1952,NE
"L6",95000,Fell,1905,NE
"H5",2000,Fell,1904,NE
"L6",44100,Fell,1933,NE
"L4",42000,Fell,1984,NE
"H6",107000,Fell,1938,NE
"H5",2900,Fell,1976,NE
"Howardite",246,Fell,1905,NE
"L6",7500,Fell,1905,SE
"H5",552,Fell,1905,NE
"H6",2568,Fell,1955,NE
"H5",331,Found,1982,NW
"H3.8",194.34,Found,2008,NE
"H3-6",21100,Found,1951,NW
"L6",2914,Found,1941,NW
"H",1.2,Found,1905,NE
"H4",4500,Found,1997,NE
"L6",6700,Found,1989,NE
"H5",228,Found,1989,NE
"H5",145,Found,1989,NE
"L6",1020,Found,1989,NE
"H3.9/4",115,Found,1989,NE
"H3.9/4",561,Found,1989,NE
"L5",542,Found,1989,NE
"H5",205,Found,1989,NE
"L6",127,Found,1989,NE
"L6",276,Found,1989,NE
"H5",3800,Found,1989,NE
"H6",98,Found,1989,NE
"H5",490,Found,1989,NE
"H5",307,Found,1989,NE
"L6",98,Found,1989,NE
"H4-5",111,Found,1989,NE
"L5",446,Found,1989,NE
"H5",207,Found,1989,NE
"L6",581,Found,1989,NE
"H5",708,Found,1989,NE
"H6",2140,Found,1989,NE
"H3.7",192,Found,1989,NE
"H3.8",118,Found,1989,NE
"H5",1464,Found,1989,NE
"H5",920,Found,1989,NE
"H5/6",88,Found,1989,NE
"H5",206,Found,1989,NE
"H3.8",3130,Found,1989,NE
"H4",98,Found,1989,NE
"LL6",123,Found,1989,NE
"H5",2016,Found,1989,NE
"L6",495,Found,1989,NE
"L6",93,Found,1989,NE
"L6",184,Found,1989,NE
"H6",36,Found,1989,NE
"L5/6",112,Found,1989,NE
"LL4-6",385,Found,1989,NE
"H5",962,Found,1989,NE
"L3.8",225,Found,1989,NE
"L5-6",146,Found,1989,NE
"L/LL6",134,Found,1989,NE
"H5",246,Found,1989,NE
"H4",120,Found,1989,NE
"L6",195,Found,1989,NE
"H5",1066,Found,1989,NE
"L4",1440,Found,1989,NE
"H4-5",115,Found,1989,NE
"H5",82.9,Found,1989,NE
"H6",1394,Found,1989,NE
"L5",905,Found,1989,NE
"L5",58,Found,1989,NE
"H6",1937,Found,1989,NE
"H5",2051,Found,1989,NE
"H5",1338,Found,1989,NE
"L4",129,Found,1989,NE
"LL5-6",277,Found,1989,NE
"CR2",281,Found,1989,NE
"H4",226,Found,1989,NE
"H4-5",105,Found,1989,NE
"H5",283,Found,1989,NE
"Mesosiderite",716,Found,1989,NE
"L5",854,Found,1989,NE
"H4-5",1539,Found,1989,NE
"LL3.8-6",517,Found,1990,NE
"H5",383,Found,1990,NE
"L6",1805,Found,1990,NE
"L6",941,Found,1990,NE
"H4/5",138,Found,1990,NE
"L6",1379,Found,1990,NE
"L5/6",162,Found,1990,NE
"H5",2010,Found,1990,NE
"L6",384,Found,1990,NE
"H5",1453,Found,1990,NE
"H5",183,Found,1990,NE
"L6",2538,Found,1990,NE
"H5",105,Found,1990,NE
"L6",387,Found,1990,NE
"L3.9",574,Found,1990,NE
"LL5-6",110,Found,1990,NE
"CV3",208,Found,1990,NE
"L6",690,Found,1990,NE
"H5",6300,Found,1990,NE
"H5",293,Found,1990,NE
"CV3",173,Found,1990,NE
"CR2",163,Found,1990,NE
"L6",200,Found,1990,NE
"H5",682,Found,1990,NE
"H5",290,Found,1990,NE
"LL5-6",3487,Found,1990,NE
"H5",244,Found,1990,NE
"L5",420,Found,1990,NE
"C2-ung",82,Found,1990,NE
"H3.7",104,Found,1990,NE
"L4-5",572,Found,1990,NE
"CR2",63,Found,1990,NE
"H5",5500,Found,1990,NE
"H5",313,Found,1990,NE
"H6",140,Found,1990,NE
"L6",452,Found,1990,NE
"L3-5",346,Found,1990,NE
"H5",665,Found,1990,NE
"H4/5",992,Found,1990,NE
"LL4-6",157,Found,1990,NE
"H5",361,Found,1991,NE
"H6",233,Found,1991,NE
"H5",29,Found,1991,NE
"L6",115,Found,1991,NE
"H6",267,Found,1991,NE
"L4",215,Found,1991,NE
"H3-6",1301,Found,1991,NE
"L5",55,Found,1991,NE
"CO3.5",389,Found,1991,NE
"H5",292,Found,1991,NE
"H3",64,Found,1991,NE
"H5",746,Found,1991,NE
"H5",1229,Found,1991,NE
"CH3",105,Found,1991,NE
"LL5",510,Found,1991,NE
"CR2",475,Found,1991,NE
"H3.7",720,Found,1991,NE
"H3.9",1009,Found,1991,NE
"H5",1340,Found,1991,NE
"L6",526,Found,1991,NE
"CH3",612,Found,1991,NE
"L5",107,Found,1991,NE
"L6",293,Found,1991,NE
"R3.8-5",174,Found,1991,NE
"L6",114,Found,1991,NE
"H6",2611,Found,1991,NE
"H5",117,Found,1991,NE
"H5/6",812,Found,1991,NE
"H5/6",334,Found,1991,NE
"L/LL6",1398,Found,1991,NE
"H5/6",85,Found,1991,NE
"H3",255,Found,1991,NE
"H5",221,Found,1991,NE
"H6",78,Found,1991,NE
"L5",2285,Found,1991,NE
"H5",325,Found,1991,NE
"H5",69,Found,1991,NE
"H4/5",218,Found,1991,NE
"H5",725,Found,1991,NE
"H5/6",242,Found,1991,NE
"Iron- IAB-ung",621,Found,1991,NE
"H5",461,Found,1991,NE
"LL6",81,Found,1991,NE
"H3",673,Found,1991,NE
"H4/5",311,Found,1991,NE
"H6",160,Found,1991,NE
"L6",342,Found,1991,NE
"L6",86,Found,1991,NE
"L6",318,Found,1991,NE
"H6",2045,Found,1991,NE
